Date,Open,High,Low,Close,Change,Volume,P_Open,P_High,P_Low,P_Close,P_Volume,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
13.06.2023,1959.825,1970.724,1939.935,1943.795,-10.04,1380,1957.098,1972.028,1948.278,1953.835,1380,-9.98,7831.239,-18.193,23.75,1
04.03.2022,1934.807,1970.648,1929.498,1969.848,26.053,1320,1959.825,1970.724,1939.935,1943.795,1380,-10.04,7814.279,-26.929,30.789,0
30.07.2020,1966.398,1970.538,1939.245,1956.795,-13.053,1381,1934.807,1970.648,1929.498,1969.848,1320,26.053,7804.801,-0.8,41.15,1
08.06.2023,1944.415,1970.398,1942.725,1965.275,8.48,1380,1966.398,1970.538,1939.245,1956.795,1381,-13.053,7832.976,-13.743,31.293,0
07.06.2023,1963.335,1970.085,1939.544,1944.405,-20.87,1380,1944.415,1970.398,1942.725,1965.275,1380,8.48,7822.813,-5.123,27.673,1
11.04.2022,1944.578,1969.558,1939.882,1952.638,8.233,1380,1963.335,1970.085,1939.544,1944.405,1380,-20.87,7817.369,-25.68,30.541,1
16.06.2023,1958.115,1967.825,1953.165,1957.358,4.72,1260,1944.578,1969.558,1939.882,1952.638,1380,8.233,7806.656,-16.92,29.676,0
24.07.2023,1961.028,1967.725,1953.145,1954.345,-3.013,1380,1958.115,1967.825,1953.165,1957.358,1260,4.72,7836.463,-10.467,14.66,1
27.07.2020,1913.515,1967.178,1912.325,1964.915,10.57,1387,1961.028,1967.725,1953.145,1954.345,1380,-3.013,7836.243,-13.38,14.58,0
12.06.2023,1959.875,1966.865,1949.125,1959.855,-5.06,1380,1913.515,1967.178,1912.325,1964.915,1387,10.57,7757.933,-2.263,54.853,0
10.09.2020,1947.238,1966.398,1941.315,1943.808,-16.047,1380,1959.875,1966.865,1949.125,1959.855,1380,-5.06,7835.72,-7.01,17.74,1
06.06.2023,1961.215,1966.238,1954.255,1963.295,19.487,1378,1947.238,1966.398,1941.315,1943.808,1380,-16.047,7798.759,-22.59,25.083,0
13.08.2020,1921.738,1966.165,1919.905,1957.265,-6.03,1380,1961.215,1966.238,1954.255,1963.295,1378,19.487,7845.003,-2.943,11.983,1
25.07.2023,1954.365,1966.125,1951.898,1965.235,7.97,1380,1921.738,1966.165,1919.905,1957.265,1380,-6.03,7765.073,-8.9,46.26,0
24.03.2022,1945.919,1966.083,1937.278,1959.155,-6.08,1380,1954.365,1966.125,1951.898,1965.235,1380,7.97,7837.623,-0.89,14.227,0
09.11.2020,1958.465,1965.415,1850.398,1870.718,-88.437,1380,1945.919,1966.083,1937.278,1959.155,1380,-6.08,7808.435,-6.928,28.805,1
25.05.2023,1959.725,1964.625,1938.658,1940.465,69.747,1380,1958.465,1965.415,1850.398,1870.718,1380,-88.437,7644.996,-94.697,115.017,1
01.08.2023,1963.778,1964.595,1941.118,1952.045,11.58,1380,1959.725,1964.625,1938.658,1940.465,1380,69.747,7803.473,-24.16,25.967,1
25.03.2022,1959.155,1964.153,1942.998,1957.688,5.643,1260,1963.778,1964.595,1941.118,1952.045,1380,11.58,7821.536,-12.55,23.477,1
05.06.2023,1949.245,1963.955,1938.045,1961.195,3.507,1380,1959.155,1964.153,1942.998,1957.688,1260,5.643,7823.994,-6.465,21.155,0
14.07.2023,1959.924,1963.585,1950.875,1954.748,-6.447,1260,1949.245,1963.955,1938.045,1961.195,1380,3.507,7812.44,-2.76,25.91,1
13.07.2023,1957.675,1963.494,1952.245,1959.908,5.16,1379,1959.924,1963.585,1950.875,1954.748,1260,-6.447,7829.132,-8.837,12.71,0
30.05.2023,1941.344,1963.378,1931.905,1958.378,-1.53,1378,1957.675,1963.494,1952.245,1959.908,1379,5.16,7833.322,-3.586,11.249,1
28.07.2023,1947.355,1963.374,1945.925,1958.465,0.087,1260,1941.344,1963.378,1931.905,1958.378,1378,-1.53,7795.005,-5,31.473,1
23.07.2023,1961.498,1962.805,1960.285,1961.028,2.563,120,1947.355,1963.374,1945.925,1958.465,1260,0.087,7815.119,-4.909,17.449,0
14.09.2020,1942.715,1962.385,1939.728,1957.118,-3.91,1376,1961.498,1962.805,1960.285,1961.028,120,2.563,7845.616,-1.777,2.52,0
24.08.2020,1935.025,1961.788,1923.608,1929.585,-27.533,1380,1942.715,1962.385,1939.728,1957.118,1376,-3.91,7801.946,-5.267,22.657,1
